matchId,Diff-A,Diff-K,Diff_CS,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_Inhibitor,Diff_LV,Diff_WARDkill,Diff_WARDplaced,Diff_jglCS,dragonType,result
KR_6744335610,-11,-5,-56,-1,1,-1,-1,0,1,5,-10,26,1,1
KR_6748324195,5,-5,-41,-1,1,-1,-1,0,-1,7,29,-1,6,1
KR_6748574725,4,5,8,1,1,1,-1,0,4,0,37,19,6,1
KR_6745880001,9,2,-5,1,1,-1,-1,0,0,-1,10,13,6,1
KR_6751571879,15,12,17,-1,1,-1,-1,0,5,1,1,6,3,1
KR_6741734284,19,21,135,1,1,1,1,0,9,2,3,37,2,1
KR_6751604956,10,18,59,1,1,-1,1,0,8,6,6,56,5,1
KR_6725094605,20,7,28,-1,1,-1,-1,0,3,5,4,35,2,1
KR_6746475915,-7,-1,-25,-1,1,1,-1,0,-2,-7,38,10,1,1
KR_6738546758,-11,3,-25,-1,0,0,-1,0,2,0,0,0,0,1
KR_6752130035,-3,-2,-50,-1,1,-1,0,0,-2,-3,-325,-25,2,1
KR_6745754732,5,8,-1,1,0,1,1,0,3,1,-34,20,0,1
KR_6746140011,20,15,59,1,0,1,1,0,5,5,-3,43,0,1
KR_6734522899,-4,-7,-4,-1,1,1,1,0,0,4,-16,16,2,1
KR_6747736869,-1,0,-25,1,1,-1,-1,0,0,2,9,11,5,1
KR_6749643153,-3,-4,-45,-1,-1,-1,-1,0,-2,-2,-10,-7,4,1
KR_6745031210,8,12,86,1,1,1,1,0,2,0,56,-50,5,1
KR_6751437784,-3,0,58,-1,1,1,1,0,2,0,39,1,3,1
KR_6748568696,8,8,18,1,-1,1,-1,0,3,11,-21,-8,6,1
KR_6745618319,8,7,73,1,-1,1,1,0,1,1,-6,-4,4,1
KR_6751261280,-9,-7,-77,1,-1,1,-1,0,-3,0,-37,25,2,1
