matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6764387422,420,2,-31,16,7,0,0,0,2,4,2,3,4,1,1,2,1,1,1,0,0,3,131,4,3,7,-1,0,0,1,1,0,-1,4,1
KR_6753652282,420,6,-22,19,17,6,7,1,8,8,0,1,3,2,3,4,1,-1,2,3,0,12,6,6,2,8,4,0,0,0,1,0,-1,0,1
KR_6749259002,420,2,61,-8,3,3,4,1,2,4,2,0,2,2,-1,1,2,-1,1,2,0,-1,2,2,4,6,0,0,1,0,-1,1,1,0,1
KR_6719639295,420,-1,9,-24,-7,-2,2,4,1,4,3,0,1,1,-4,1,5,-2,1,3,0,-11,6,0,5,5,-3,0,0,1,1,0,-1,1,1
KR_6706723058,420,5,39,32,14,7,7,0,-1,2,3,-1,1,2,6,7,1,3,3,0,0,8,-2,1,5,6,3,0,1,-1,1,1,-1,4,1
KR_6655027065,420,5,61,14,8,1,3,2,3,4,1,2,2,0,0,2,2,2,2,0,0,5,-1,-3,5,2,1,0,0,0,-1,1,-1,0,1
KR_6737404888,420,0,-34,1,1,2,3,1,0,5,5,0,1,1,-1,2,3,0,0,0,0,4,127,3,2,5,-4,0,0,1,1,1,1,3,1
KR_6635399759,420,-1,108,13,1,-4,1,5,-1,2,3,5,5,0,0,0,0,1,2,1,0,3,-21,6,5,11,0,0,1,-1,1,1,-1,1,1
KR_6729389974,440,-1,-15,-16,-7,-1,1,2,2,4,2,1,3,2,-4,7,11,-5,1,6,-2,-9,-3,4,4,8,-1,0,0,-1,1,-1,-1,1,1
KR_6759901726,420,-2,-45,-44,-4,-7,1,8,-1,2,3,3,3,0,0,4,4,1,2,1,-2,2,-156,1,4,5,-2,0,0,1,1,0,-1,5,1
KR_6762917044,440,6,62,28,12,3,3,0,1,2,1,2,3,1,-1,3,4,7,7,0,0,7,53,4,1,5,-30,0,4,1,1,1,1,1,1
KR_6733279185,420,-2,-14,7,-3,-3,0,3,-3,3,6,0,3,3,3,3,0,0,0,0,0,1,4,0,4,4,-1,0,1,0,1,1,-1,0,1
KR_6539422178,440,1,118,0,-1,-2,2,4,-2,1,3,5,7,2,-1,4,5,-1,0,1,1,2,3,1,2,3,-2,0,0,0,-1,0,1,0,1
KR_6760381469,420,3,48,1,10,-1,1,2,2,6,4,-2,4,6,12,14,2,-1,2,3,2,14,-1,0,3,3,-1,0,-1,1,-1,1,1,1,1
KR_6741091034,420,1,-25,17,0,1,2,1,-1,1,2,-2,2,4,2,2,0,0,2,2,-1,5,7,2,3,5,0,0,1,-1,0,1,-1,4,1
